"",""
"Action","Action"
"Add Question","Add Question"
"An error occurred while updating the questions.","An error occurred while updating the questions."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find question to delete.","Could not find question to delete."
"Created at","Created at"
"Delete Question","Delete Question"
"Delete","Delete"
"Disabled","Disabled"
"Edit Question '%s'","Edit Question '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving question","Error saving question"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Pergunta","Pergunta"
"Please select questions to delete.","Please select questions to delete."
"Please select questions.","Please select questions."
"Question was saved","Question was saved"
"Question was successfully deleted.","Question was successfully deleted."
"Question was successfully saved","Question was successfully saved"
"Question","Question"
"Questions","Questions"
"Reset","Reset"
"Resposta","Resposta"
"Save And Continue Edit","Save And Continue Edit"
"Save Question","Save Question"
"Status","Status"
"Store views","Store views"
"The questions has been deleted.","The questions has been deleted."
"There was a problem saving the question.","There was a problem saving the question."
"There was an error deleting question.","There was an error deleting question."
"There was an error deleting questions.","There was an error deleting questions."
"There was an error updating questions.","There was an error updating questions."
"This question no longer exists.","This question no longer exists."
"Total of %d questions were successfully deleted.","Total of %d questions were successfully deleted."
"Total of %d questions were successfully updated.","Total of %d questions were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find question to save.","Unable to find question to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"