"",""
"Action","Action"
"Add Vedovatogrid","Add Vedovatogrid"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the vedovatogrids.","An error occurred while updating the vedovatogrids."
"Approved","Approved"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find vedovatogrid to delete.","Could not find vedovatogrid to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Delete Vedovatogrid comment","Delete Vedovatogrid comment"
"Delete Vedovatogrid","Delete Vedovatogrid"
"Delete","Delete"
"Descrição","Descrição"
"Disabled","Disabled"
"Edit Vedovatogrid '%s'","Edit Vedovatogrid '%s'"
"Edit Vedovatogrid comment '%s'","Edit Vedovatogrid comment '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving vedovatogrid","Error saving vedovatogrid"
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Meta description for vedovatogrids list page","Meta description for vedovatogrids list page"
"Meta information","Meta information"
"Meta keywords for vedovatogrids list page","Meta keywords for vedovatogrids list page"
"Meta title for vedovatogrids list page","Meta title for vedovatogrids list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Vedovatogrid Comments","My Vedovatogrid Comments"
"My Vedovatogrids comment view","My Vedovatogrids comment view"
"No","No"
"Nome","Nome"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select vedovatogrids to delete.","Please select vedovatogrids to delete."
"Please select vedovatogrids.","Please select vedovatogrids."
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Vedovatogrid comment","Save Vedovatogrid comment"
"Save Vedovatogrid","Save Vedovatogrid"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"Telefone","Telefone"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The vedovatogrids has been deleted.","The vedovatogrids has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the vedovatogrid.","There was a problem saving the vedovatogrid."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error deleting vedovatogrid.","There was an error deleting vedovatogrid."
"There was an error deleting vedovatogrids.","There was an error deleting vedovatogrids."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating vedovatogrids.","There was an error updating vedovatogrids."
"This comment no longer exists.","This comment no longer exists."
"This vedovatogrid does not allow comments","This vedovatogrid does not allow comments"
"This vedovatogrid no longer exists.","This vedovatogrid no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d vedovatogrids were successfully deleted.","Total of %d vedovatogrids were successfully deleted."
"Total of %d vedovatogrids were successfully updated.","Total of %d vedovatogrids were successfully updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find vedovatogrid to save.","Unable to find vedovatogrid to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"Vedovatogrid Comment","Vedovatogrid Comment"
"Vedovatogrid Comments","Vedovatogrid Comments"
"Vedovatogrid comment","Vedovatogrid comment"
"Vedovatogrid was saved","Vedovatogrid was saved"
"Vedovatogrid was successfully deleted.","Vedovatogrid was successfully deleted."
"Vedovatogrid was successfully saved","Vedovatogrid was successfully saved"
"Vedovatogrid","Vedovatogrid"
"Vedovatogrids","Vedovatogrids"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for vedovatogrids.","You have submitted no comments for vedovatogrids."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"